rowid,code,FY,land_value,inf_new,edu_new,wel_new,env_new,ind_new,fir_new,gen_new
170,6211,2014,23700,49411.666666666664,21445.333333333332,2943.3333333333335,194.66666666666666,4196.666666666667,1126.6666666666667,2399.6666666666665
171,6212,2010,15766.666666666666,18365,10894,1243,115,7784,1045,3179
172,6212,2011,15300,18020,10651,1183,108,7093,1051,3026
173,6212,2012,14933.333333333334,17762,10458,1129,102,6430,1251,2863
174,6212,2013,14633.333333333334,17816,10203,1084,100,5815,1203,2784
175,6212,2014,14400,17990.75,10551.5,1159.75,106.25,6780.5,1137.5,2963
176,7202,2010,36400,88600,49741,2111,1344,17002,267,18170
177,7202,2011,35011.76470588235,88272,48486,2066,1311,17015,253,17949
178,7202,2012,34802.94117647059,83606,43406,1912,1220,15112,249,15769
179,7202,2013,35008.82352941176,85435,43508,1948,1199,15778,219,15568
180,7202,2014,36032.94117647059,86478.25,46285.25,2009.25,1268.5,16226.75,247,16864
181,7204,2010,28552,274932,110055.33333333333,7717.333333333333,29728.666666666668,27486.333333333332,5383.333333333333,14398.666666666666
182,7204,2011,27724,274932,110055.33333333333,7717.333333333333,29728.666666666668,27486.333333333332,5383.333333333333,14398.666666666666
183,7204,2012,28612,252071,110399,7975,31590,28064,5259,13616
184,7204,2013,30612,273827,109927,7518,29515,27250,5175,14261
185,7204,2014,33006,298898,109840,7659,28081,27145,5716,15319
186,7207,2010,22662.5,77802,31170,2846,1046,4460,657,6663
187,7207,2011,21729.166666666668,76461,31654,2750,1001,4345,617,6522
188,7207,2012,21412.5,74988,31774,2694,967,4577,950,6548
189,7207,2013,21447.5,76417,31532.666666666668,2763.3333333333335,1004.6666666666666,4460.666666666667,741.3333333333334,6577.666666666667
190,7207,2014,21572.5,76417,31532.666666666668,2763.3333333333335,1004.6666666666666,4460.666666666667,741.3333333333334,6577.666666666667
191,7208,2010,10316.363636363636,44010,16144,3157,759,13212,284,4573
192,7208,2011,9880,43274,16578,2946,952,12502,279,4666
193,7208,2012,9635.454545454546,42306,17039,2720,899,11851,403,4611
194,7208,2013,9464.545454545454,41943,16956,2504,859,11228,372,6194
195,7208,2014,9349.09090909091,41115,16944,2284,813,10590,355,7827
196,7210,2010,18718.18181818182,54516,27976,3125,576,10901,1051,14946
197,7210,2011,17998.18181818182,53979,28581,2971,536,10272,1089,14803
198,7210,2012,17653.636363636364,53942,28573,3258,511,9774,1135,14698
199,7210,2013,17650.909090909092,54300,28722,4549,479,9394,1211,14578
200,7210,2014,17831.81818181818,54641,28481,6245,453,9010,1313,14183
201,7211,2010,9475,51177,22502,5236,1693,13799,102,4676
202,7211,2011,9181,51067,22617,4718,1690,12624,192,4577
203,7211,2012,9065,51233,20779,4335,2038,11381,178,4358
204,7211,2013,9007,50826,20134,4197,2037,10814,208,4123
205,7211,2014,8958,51628,19502,4104,1990,10899,207,6800
206,7212,2010,10100,66621,31958,1974,3934,12923,1662,8423
207,7212,2011,9900,65551,31190,1889,3647,12474,1636,8288
208,7212,2012,9950,65958,31273,1799,3602,11819,1592,8529
209,7212,2013,10300,74822,31739,3290,3518,11834,1749,8728
210,7212,2014,10650,82519,32558,10016,3655,13354,2070,9724
211,8201,2010,56157.142857142855,287663,93173,7237,8319,8165,1827,7039
212,8201,2011,53260,285817,91964,7714,7848,7835,1762,6951
213,8201,2012,51220,283731,91453,7534,7487,7562,1790,6816
214,8201,2013,49717.142857142855,281327,91225,7892,7262,7346,1871,8424
215,8201,2014,48702.857142857145,284634.5,91953.75,7594.25,7729,7727,1812.5,7307.5
216,8202,2010,41658.333333333336,134102,52753,5289,18813,11016,4867,23133
217,8202,2011,39779.166666666664,134464,54612,4948,18177,10817,4956,22567
218,8202,2012,38562.5,135276,55417,4614,17563,10537,5854,22507
219,8202,2013,37620.833333333336,136906,59657,4318,16986,10623,5968,22698
220,8202,2014,36933.333333333336,137452,61882,3994,16639,10658,6075,22778
221,8207,2010,30040,40412,18652,828,236,2195,182,3085
222,8207,2011,29200,39845,18305,799,227,2094,175,2992
223,8207,2012,28580,38950,17951,824,223,1939,173,2788
224,8207,2013,28100,38579,18007,777,222,1866,190,2677
225,8207,2014,27760,38030,17909,734,227,1802,431,2568
226,8212,2010,20538.333333333332,41341,21394,3489,10149,16285,3518,7432
227,8212,2011,19666.666666666668,42060,21115,3329,9701,15275,3401,7039
228,8212,2012,19015,41700.5,21254.5,3409,9925,15780,3459.5,7235.5
229,8212,2013,18480,41700.5,21254.5,3409,9925,15780,3459.5,7235.5
230,8212,2014,17886.666666666668,41700.5,21254.5,3409,9925,15780,3459.5,7235.5
231,8216,2010,26937.5,58818,23292,1675,844,9138,1361,6268
232,8216,2011,25637.5,58802,22897,1729,807,8509,1358,6107
233,8216,2012,24537.5,58810,23094.5,1702,825.5,8823.5,1359.5,6187.5
234,8216,2013,23687.5,58810,23094.5,1702,825.5,8823.5,1359.5,6187.5
235,8216,2014,23075,58810,23094.5,1702,825.5,8823.5,1359.5,6187.5
236,8217,2010,47363.63636363636,80890,37028,5327,784,2006,1786,5803
237,8217,2011,45300,80423,37006,5213,775,1906,1720,5750
238,8217,2012,44045.454545454544,80400,36717,5196,711,1806,1703,5689
239,8217,2013,43363.63636363636,81240,36475,5628,634,1705,1838,5773
240,8217,2014,42909.09090909091,80738.25,36806.5,5341,726,1855.75,1761.75,5753.75
241,8220,2010,62188.46153846154,102393,86212,8303,17041,10041,2330,17247
242,8220,2011,61003.846153846156,134875,90539,8216,15258,8578,2420,16843
243,8220,2012,61138.46153846154,133796,90594,7897,13998,7987,2357,16623
244,8220,2013,62180.769230769234,132640,90575,7522,12744,7653,3219,16476
245,8220,2014,62150,135156,96694,7655,11598,7323,4710,16508
246,8221,2010,37045,90443,41429,3217,14816,2956,1990,5508
247,8221,2011,35300,90392,41553,2975,19756,2795,2232,5571
248,8221,2012,34165,90524,41580,2773,20528,2651,2225,5625
249,8221,2013,33475,90845,42151,2579,19528,2553,2148,5910
250,8221,2014,33100,91052,45863,2411,18489,2499,2160,6807
251,8223,2010,14668,13904,17160,352,3862,2524,258,1232
252,8223,2011,13804,13683,17279,332,3666,2434,253,1228
253,8223,2012,13390,13336,17823,310,3510,2383,258,1191
254,8223,2013,13030,15318,18009,289,3423,2251,262,1356
255,8223,2014,12894,14060.25,17567.75,320.75,3615.25,2398,257.75,1251.75
256,8225,2010,15002,42303,17126,1094,2256,17554,985,7232
257,8225,2011,14776,41361,17128,1003,2467,16497,896,6896
258,8225,2012,14300,40839,17574,939,2395,15426,910,6507
259,8225,2013,13788,40276,17259,858,2352,14645,993,6117
260,8225,2014,13348,41194.75,17271.75,973.5,2367.5,16030.5,946,6688
261,8226,2010,26741.666666666668,42279,20460,1665,2325,2960,1648,5264
262,8226,2011,25700,41823,19918,1528,2190,2753,1564,5299
263,8226,2012,24666.666666666668,42051,20189,1596.5,2257.5,2856.5,1606,5281.5
264,8226,2013,23850,42051,20189,1596.5,2257.5,2856.5,1606,5281.5
265,8226,2014,23136.666666666668,42051,20189,1596.5,2257.5,2856.5,1606,5281.5
266,8227,2010,25809.090909090908,63151,38976,1329,2026,6745,1332,5245
267,8227,2011,24713.636363636364,62047,40017,1222,1915,5970,1205,5120
268,8227,2012,23943.636363636364,61548,43568,931,1794,3612,1133,4680
269,8227,2013,23609.090909090908,61145,46778,893,1696,3268,1074,4970
270,8227,2014,23350,61044,49042,887,1582,2936,1071,5850
271,8228,2010,21650,47205,22556,1264,621,2627,867,3055
272,8228,2011,21075,47824,22382,1242,596,2509,854,2996
273,8228,2012,20700,48822,22205,1199,585,2453,813,2979
274,8228,2013,20375,50237,22424,1471,662,2333,785,3192
275,8228,2014,20100,48522,22391.75,1294,616,2480.5,829.75,3055.5
276,8229,2010,10325,23863,25841,2509,475,2983,729,4949
277,8229,2011,9738.333333333334,24298,25367,2351,441,2826,700,4694
278,8229,2012,9425,24315,25824,2191,404,2632,760,4492
279,8229,2013,9250,24644,25704,2037,441,2424,733,4552
280,8229,2014,9136.666666666666,24280,25684,2272,440.25,2716.25,730.5,4671.75
281,8230,2010,15015,35781,11192,2501,223,3448,186,3902
282,8230,2011,14415,35343,10619,2424,246,3275,152,3854
283,8230,2012,13990,35055,10894,2280,309,3188,298,3907
284,8230,2013,13892.5,34952,11088,2240,327,2902,162,4022
285,8230,2014,13815,34636,10879,2290,338,2833,318,3848
286,8231,2010,18700,26408,17629,1232,134,9479,287,3011
287,8231,2011,18076.666666666668,26111,17916,1133,124,9065,282,2879
288,8231,2012,17650,25857,18104,1031,114,8591,275,2764
289,8231,2013,17408.333333333332,25741,18267,930,142,8176,412,2638
290,8231,2014,17200,25466,18006,833,153,7795,613,2516
291,8234,2010,14525,33857,18249,417,5194,2648,648,2761
292,8234,2011,13450,34193,19024,398,4975,2419,582,2609
293,8234,2012,12750,34152,18993,379,4675,2208,517,2460
294,8234,2013,12425,34359,19396,359,4406,1983,466,2441
295,8234,2014,12225,34351,21529,346,4160,1853,440,2749
296,9201,2010,61013.432835820895,487500,169700,13100,57000,18700,10600,50300
297,9201,2011,58937.31343283582,489000,169000,12700,54800,17800,10600,49800
298,9201,2012,57761.19402985075,489400,169700,12200,52800,17000,10400,48900
299,9201,2013,57223.880597014926,490000,171600,11800,51000,16100,10400,48400
300,9201,2014,57050.746268656716,489001,173950,11398,49178,15428,10411,48004
301,9202,2010,33700,138498,51696,4982,9842,6458,3159,15401
302,9202,2011,31980.95238095238,136064,51156,4800,9513,6351,3205,15137
303,9202,2012,30709.52380952381,133677,51089,4608,9171,6297,3210,15076
304,9202,2013,29800,134851,51008.5,4777.75,9268.5,6313.5,3253.75,15025
305,9202,2014,29104.761904761905,131165,50093,4721,8548,6148,3441,14486
306,9204,2010,30540.909090909092,82966,29391,5682,13031,6171,1432,10111
307,9204,2011,28956.81818181818,81647,30118,5491,12390,5854,1380,9925
308,9204,2012,27793.18181818182,80606,32157,5719,11757,5573,1298,10024
309,9204,2013,26995.454545454544,79750,31601,5553,11126,5238,1225,10132
310,9204,2014,26384.090909090908,79006,30937,5737,10497,4946,2082,12118
311,9205,2010,31491.666666666668,88657,45003,4203,7080,13678,2049,6109
312,9205,2011,30441.666666666668,88180,44860,4013,6636,13130,2030,6050
313,9205,2012,29433.333333333332,86959,44245,3847,6044,12472,2273,5803
314,9205,2013,28533.333333333332,86562,44123,3669,5662,12142,2236,5607
315,9205,2014,27808.333333333332,87589.5,44557.75,3933,6355.5,12855.5,2147,5892.25
316,9206,2010,17258.46153846154,82120,39729,3728,13122,19492,3877,10058
317,9206,2011,16281.538461538461,81340,39949,3679,12400,19837,4294,9780
318,9206,2012,15565.384615384615,81567,39965,3508,12043,19401,4548,9784
319,9206,2013,15033.846153846154,82760,40118,3297,11932,18889,5665,9566
320,9206,2014,14640.76923076923,81946.75,39940.25,3553,12374.25,19404.75,4596,9797
321,9208,2010,40518.181818181816,106354,50001,2533,1552,4036,1691,8969
322,9208,2011,39540.90909090909,107666,50073,2499,1544.5,4157.5,2322,9189.5
323,9208,2012,38800,108978,50145,2465,1537,4279,2953,9410
324,9208,2013,38477.27272727273,107666,50073,2499,1544.5,4157.5,2322,9189.5
325,9208,2014,38336.36363636364,107666,50073,2499,1544.5,4157.5,2322,9189.5
326,9209,2010,28746.153846153848,46737,27925,1280,2932,4595,1037,7825
327,9209,2011,27492.30769230769,46001,28134,1249,2789,4303,1008,8569
328,9209,2012,26607.69230769231,45347,29129,1206,2565,4075,1213,8486
329,9209,2013,26015.384615384617,45279,29860,1162,2361,3944,1108,9705
330,9209,2014,25600,45129,30873,1162,2382,4029,1018,9491
331,9210,2010,19543.75,57265,32297,2466,1554,7803,595,15665
332,9210,2011,18625,58075,31790,2378,1472,7331,591,15086
333,9210,2012,17856.25,59739,31444,2432,1416,6885,582,14639
334,9210,2013,17387.5,61828,30997,2347,1362,6468,632,15771
335,9210,2014,17043.75,62122,30311,2229,1305,6024,633,15382
336,9211,2010,29100,35521,11839,1117,755,3426,224,1248
337,9211,2011,27833.333333333332,34922,11718,1068,728,3274,243,1250
338,9211,2012,26633.333333333332,34467,11591,1002,684,3164,614,1322
339,9211,2013,25866.666666666668,34780,11705,941,645,3022,816,1317
340,9211,2014,25200,35606,11402,881,599,2883,763,1309
341,9214,2010,29650,28250,16138,1689,270,4849,482,4082
342,9214,2011,28525,29495,16021,1804,251,4478,461,3911
343,9214,2012,27775,29615,15750,2029,234,4197,463,3746
344,9214,2013,27150,29894,16255,1981,270,3920,473,3673
345,9214,2014,26600,29981,17497,1889,290,3699,478,3536
346,9216,2010,43562.5,43728,28403,4203,274,7146,350,5879
347,9216,2011,42687.5,43866,27904,4011,409,6932,344,5758
348,9216,2012,42337.5,42845,28798,3761,413,6699,341,5606
349,9216,2013,42187.5,42469,29416,3698,415,6470,369,6053
350,9216,2014,42287.5,41763,29645,3589,401,6220,377,6870
351,10202,2010,50080.606060606064,297429,140197,15824,21570,26944,3972,48957
352,10202,2011,48518.181818181816,298472,136633,15503,21881,25788,3913,47980
353,10202,2012,47350,297133,137486,15342,20981,24632,3778,46818
354,10202,2013,46918.181818181816,295094,138934,15426,20682,23479,3698,46430
355,10202,2014,46898.48484848485,292878,143817,14958,21587,22534,3733,45637
356,10203,2010,31234.117647058825,84247,53027,6059,20152,9142,3451,10927
357,10203,2011,29378.235294117647,82586,52647,5848,18684,8872,3447,10652
358,10203,2012,27772.352941176472,82091,52002,5573,17279,8569,3386,10388
359,10203,2013,26829.41176470588,81361,50946,5267,15813,8297,3968,10151
360,10203,2014,26294.117647058825,80808,50825,5050,13893,8172,3919,10357
361,10208,2010,24000,67222,33027,3039,1261,17425,1382,13775
362,10208,2011,23184.615384615383,67358,32689,2928,1195,16573,1347,13463
363,10208,2012,22607.69230769231,67058,33230,2798,1139,15794,1818,13027
364,10208,2013,22353.846153846152,66842,35546,2677,1093,15055,1952,12614
365,10208,2014,22170.76923076923,66665,37031,2522,1056,14300,2191,12602
366,10209,2010,24266.666666666668,49479,22326,2025,1753,6124,975,5519
367,10209,2011,23366.666666666668,44166,21563,1939,1672,5881,923,5162
368,10209,2012,22516.666666666668,42479,21045,1875,1594,5588,905,4985
369,10209,2013,21941.666666666668,41683,19679,1695,1374,5130,838,4720
370,10209,2014,21571.666666666668,41299,18932,1637,1201,4667,746,4808
371,10212,2010,20300,28812,31478,2437,829,9293,797,6708
372,10212,2011,19162.5,28568,31172,2418,766,9029,806,6686
373,10212,2012,18212.5,28263,31204,2283,720,8747,798,6527
374,10212,2013,17707.5,28124,31192,2177,659,8547,848,6496
375,10212,2014,17421.25,28441.75,31261.5,2328.75,743.5,8904,812.25,6604.25
376,11100,2010,164067.60563380283,903123,532983,28687,81130,17690,21424,82794
377,11100,2011,163294.3661971831,903123,532983,28687,81130,17690,21424,82794
378,11100,2012,164077.46478873238,903123,532983,28687,81130,17690,21424,82794
379,11100,2013,166485.91549295775,903123,532983,28687,81130,17690,21424,82794
380,11100,2014,168550.70422535212,903123,532983,28687,81130,17690,21424,82794
381,11201,2010,132118.18181818182,158405,96964,6651,41641,8403,835,24275
382,11201,2011,131222.72727272726,160164,96806,6416,40070,8120,831,24048
383,11201,2012,131363.63636363635,163939,96392,6146,38467,8323,832,24699
384,11201,2013,132700,167670,94352,5892,37423,8057,835,27608
385,11201,2014,133050,168520,93368,5648,35997,8231,844,35673
386,11202,2010,48487.5,134778,55512,3299,12339,6080,3064,10356
387,11202,2011,47793.75,133941,56150,3165,11756,5560,3100,10139
388,11202,2012,47268.75,132659,56770,3010,11110,5114,3566,10009
389,11202,2013,46893.75,132058,57146,2932,10464,4723,3445,9753
390,11202,2014,46481.25,130883,59007,2997,9869,4431,3756,9583
391,11203,2010,184970.58823529413,360419,220338,15886,51751,17480,9065,34498
392,11203,2011,182676.4705882353,398189,235105,17281,56048,17229,9686,39511
